ROI1,ROI2,meanAN,meanHEALTH,meanHF,meanLF,stdAN,stdHEALTH,stdHF,stdLF,padj HAN,padj H_LF,padj H_HF,padj AN_LF,padj AN_HF,padj_HF_LF,EF HD,EF H_LF,EF H_HF,EF AN_LF,EF AN_HF,EF_HF_LF,t HAN,t H_LF,t H_HF,t AN_LF,t AN_HF,t_HF_LF,ROI1,ROI2,meanAN,meanHEALTH,meanHF,meanLF,stdAN,stdHEALTH,stdHF,stdLF,p HAN,p H_LF,p H_HF,p AN_LF,p AN_HF,p_HF_LF,EF HAN,EF H_LF,EF H_HF,EF AN_LF,EF AN_HF,EF_HF_LF,t HAN,t H_LF,t H_HF,t AN_LF,t AN_HF,t_HF_LF
b'rFEF',b'rTCS',0.14267509262629816,0.13356998683267346,0.14266483059504678,0.14232046797709572,0.11961263601253208,0.11320180306119414,0.11960696031540063,0.11882185609476438,1.0,1.0,1.0,1.0,1.0,1.0,0.07805764759364342,0.07527959279086058,0.07797162335966724,0.002969630480526407,8.565279553771455e-05,-0.0028837649959487345,0.9560070356320679,0.9219829519105374,0.9549534582382907,0.03637039700952857,0.0010490282205516828,-0.035318763890867994,b'rFEF',b'rTCS',0.14267509262629816,0.13356998683267346,0.14266483059504678,0.14232046797709572,0.11961263601253208,0.11320180306119414,0.11960696031540063,0.11882185609476438,0.3394549871712623,0.3569092841337319,0.33998709777127256,0.9709991556381361,0.9991633465772045,0.9718373471733256,0.07805764759364342,0.07527959279086058,0.07797162335966724,0.002969630480526407,8.565279553771455e-05,-0.0028837649959487345,0.9560070356320679,0.9219829519105374,0.9549534582382907,0.03637039700952857,0.0010490282205516828,-0.035318763890867994
b'rFEF',b'rV1',0.15604270807648613,0.15737866362691325,0.15603746548735686,0.155517050481364,0.11906204547000827,0.12107183632733116,0.11905644769640127,0.11827563334096869,1.0,1.0,1.0,1.0,1.0,1.0,-0.011107806856406957,-0.015528729465470289,-0.011151654141080568,0.004422204596181692,4.3959997530089845e-05,-0.004378203820071278,-0.13604229479792748,-0.1901873177206219,-0.13657931216821198,0.0541607239941784,0.0005383978152136447,-0.05362182674539362,b'rFEF',b'rV1',0.15604270807648613,0.15737866362691325,0.15603746548735686,0.155517050481364,0.11906204547000827,0.12107183632733116,0.11905644769640127,0.11827563334096869,0.8918336285342556,0.8492268909950729,0.8914092968991512,0.9568252011401456,0.9995706002688429,0.9572543744982211,-0.011107806856406957,-0.015528729465470289,-0.011151654141080568,0.004422204596181692,4.3959997530089845e-05,-0.004378203820071278,-0.13604229479792748,-0.1901873177206219,-0.13657931216821198,0.0541607239941784,0.0005383978152136447,-0.05362182674539362
b'rFEF',b'rV2',0.13938742049926595,0.14283761062398648,0.13980656667187866,0.14151778716977417,0.12681639393906027,0.13163652465855638,0.12764678095764095,0.12776259611394788,1.0,1.0,1.0,1.0,1.0,1.0,-0.02664962083499779,-0.010157898741968648,-0.02333840822089846,-0.016708357632384593,-0.0032888435404682197,0.013377472096141499,-0.3263898644219398,-0.12440834388341176,-0.28583595774988685,-0.20463475319639546,-0.04027994258997808,0.1638399034193339,b'rFEF',b'rV2',0.13938742049926595,0.14283761062398648,0.13980656667187866,0.14151778716977417,0.12681639393906027,0.13163652465855638,0.12764678095764095,0.12776259611394788,0.744243600090276,0.9010337739063313,0.7751027503159196,0.8379271293336996,0.9678833882910536,0.8699125358200798,-0.02664962083499779,-0.010157898741968648,-0.02333840822089846,-0.016708357632384593,-0.0032888435404682197,0.013377472096141499,-0.3263898644219398,-0.12440834388341176,-0.28583595774988685,-0.20463475319639546,-0.04027994258997808,0.1638399034193339
b'rFEF',b'lFEF',0.14646312355348454,0.1476323063652442,0.14691498064676717,0.14739541557489233,0.14797581951558314,0.14650534070815546,0.1479603524719627,0.14806651729564113,1.0,1.0,1.0,1.0,1.0,1.0,-0.007927284681345808,-0.0016056681254319844,-0.004863863275916569,-0.006287863220543335,-0.0030486531325584617,0.0032404727610825346,-0.09708901257539383,-0.019665338017797695,-0.0595699160232871,-0.07701028231372249,-0.037338222887528784,0.03968752395019977,b'rFEF',b'lFEF',0.14646312355348454,0.1476323063652442,0.14691498064676717,0.14739541557489233,0.14797581951558314,0.14650534070815546,0.1479603524719627,0.14806651729564113,0.9226882364126946,0.9843169012222098,0.9525180806869775,0.9386411234143515,0.9702277900105133,0.9683554942427737,-0.007927284681345808,-0.0016056681254319844,-0.004863863275916569,-0.006287863220543335,-0.0030486531325584617,0.0032404727610825346,-0.09708901257539383,-0.019665338017797695,-0.0595699160232871,-0.07701028231372249,-0.037338222887528784,0.03968752395019977
b'rFEF',b'lPCI',0.14190316859471908,0.14403140103448892,0.140738210154027,0.14240767004927815,0.13331887553155397,0.13093269530701926,0.13210589900800032,0.13328980436345578,1.0,1.0,1.0,1.0,1.0,1.0,-0.01608009973236364,-0.012269644038559449,-0.024997586037671993,-0.0037782709410576314,0.00876333477434058,0.012559800595456218,-0.1969401967867763,-0.15027183610026065,-0.30615665296808764,-0.04627417957788207,0.10732849321161193,0.15382551364986027,b'rFEF',b'lPCI',0.14190316859471908,0.14403140103448892,0.140738210154027,0.14240767004927815,0.13331887553155397,0.13093269530701926,0.13210589900800032,0.13328980436345578,0.8439412521282291,0.8806008230758656,0.7595919316246865,0.9631071676176286,0.9145643785050102,0.8777992122037107,-0.01608009973236364,-0.012269644038559449,-0.024997586037671993,-0.0037782709410576314,0.00876333477434058,0.012559800595456218,-0.1969401967867763,-0.15027183610026065,-0.30615665296808764,-0.04627417957788207,0.10732849321161193,0.15382551364986027
b'rFEF',b'lPCM',0.16284876262295203,0.15348907153958097,0.1612534802027109,0.16289248307997872,0.13440993500330464,0.12697639083973689,0.13178969334026935,0.13450415873323768,1.0,1.0,1.0,1.0,1.0,1.0,0.07146741301488808,0.07177465573491165,0.05990055894950079,-0.0003246205915669979,0.011965037365300444,0.012288559493938443,0.8752934756160867,0.8790564150722993,0.7336290236689064,-0.003975774046697844,0.1465411814916045,0.15050350216991526,b'rFEF',b'lPCM',0.16284876262295203,0.15348907153958097,0.1612534802027109,0.16289248307997872,0.13440993500330464,0.12697639083973689,0.13178969334026935,0.13450415873323768,0.38176566446789817,0.3797237715101509,0.463462379974908,0.9968291255348508,0.8835435694258849,0.8804181385717783,0.07146741301488808,0.07177465573491165,0.05990055894950079,-0.0003246205915669979,0.011965037365300444,0.012288559493938443,0.8752934756160867,0.8790564150722993,0.7336290236689064,-0.003975774046697844,0.1465411814916045,0.15050350216991526
b'rFEF',b'lPCS',0.13756473224399002,0.1354431304730974,0.13320575621053515,0.137673386154155,0.13938653212728788,0.13431130909413486,0.1311193609041353,0.13919765360017386,1.0,1.0,1.0,1.0,1.0,1.0,0.015474720254251418,0.016278663956807812,-0.016829107975306973,-0.0007787422960858529,0.03215955167142459,0.032984881565293375,0.1895258426761397,0.19937210194207483,-0.20611363682852502,-0.009537606332668586,0.3938724597583007,0.4039806453055203,b'rFEF',b'lPCS',0.13756473224399002,0.1354431304730974,0.13320575621053515,0.137673386154155,0.13938653212728788,0.13431130909413486,0.1311193609041353,0.13919765360017386,0.8497450128584569,0.8420394532812661,0.8367722981187151,0.9923933874105567,0.693815607346179,0.6863713798750093,0.015474720254251418,0.016278663956807812,-0.016829107975306973,-0.0007787422960858529,0.03215955167142459,0.032984881565293375,0.1895258426761397,0.19937210194207483,-0.20611363682852502,-0.009537606332668586,0.3938724597583007,0.4039806453055203
b'rFEF',b'lPFCCL',0.12386900066780394,0.12171289574934561,0.12409044606140004,0.12447905794521444,0.11701569636139698,0.11372172870277333,0.11687369553954889,0.11711874099331027,1.0,1.0,1.0,1.0,1.0,1.0,0.018655743460714108,0.02392344041270203,0.020584647099568875,-0.005202477811136418,-0.0018904317747956245,0.0033160340539992814,0.2284852612550678,0.2930011095149909,0.2521094096460273,-0.06371708017717868,-0.023152966208966404,0.04061295700995479,b'rFEF',b'lPFCCL',0.12386900066780394,0.12171289574934561,0.12409044606140004,0.12447905794521444,0.11701569636139698,0.11372172870277333,0.11687369553954889,0.11711874099331027,0.8193471229661993,0.7696229469083409,0.801043119848988,0.9492167966168432,0.9815359795078716,0.9676180098064899,0.018655743460714108,0.02392344041270203,0.020584647099568875,-0.005202477811136418,-0.0018904317747956245,0.0033160340539992814,0.2284852612550678,0.2930011095149909,0.2521094096460273,-0.06371708017717868,-0.023152966208966404,0.04061295700995479
b'rFEF',b'lPFCDL',0.1569439448837746,0.15075220749272425,0.1393315734911848,0.15706871495182065,0.15003510706053477,0.13806858812264583,0.11825950247055794,0.14961332350351436,1.0,1.0,1.0,1.0,1.0,1.0,0.04287403557355716,0.04380462834049113,-0.08869639692517216,-0.0008313864398918044,0.13016256492644976,0.13131223365001937,0.5250975518457467,0.5364949390323116,-1.0863045724501732,-0.010182362784019992,1.5941593384084407,1.608239847138353,b'rFEF',b'lPFCDL',0.1569439448837746,0.15075220749272425,0.1393315734911848,0.15706871495182065,0.15003510706053477,0.13806858812264583,0.11825950247055794,0.14961332350351436,0.5997099982086027,0.5918160519591318,0.2777819497961077,0.991879186261358,0.111428714606874,0.10831045196834058,0.04287403557355716,0.04380462834049113,-0.08869639692517216,-0.0008313864398918044,0.13016256492644976,0.13131223365001937,0.5250975518457467,0.5364949390323116,-1.0863045724501732,-0.010182362784019992,1.5941593384084407,1.608239847138353
b'rFEF',b'lPFCDM',0.16665204053863458,0.1692836891876165,0.16662729568124646,0.1671408021702528,0.1311284733732542,0.1327429748867481,0.13142921062021024,0.1313430131868627,1.0,1.0,1.0,1.0,1.0,1.0,-0.019912800328327675,-0.016201408596152645,-0.020077281713074817,-0.003718089094721948,0.00018817628913348343,0.0039018576275252695,-0.24388100077164074,-0.19842592087457556,-0.24589547809572518,-0.045537105501377025,0.0023046794503373464,0.04778780118211727,b'rFEF',b'lPFCDM',0.16665204053863458,0.1692836891876165,0.16662729568124646,0.1671408021702528,0.1311284733732542,0.1327429748867481,0.13142921062021024,0.1313430131868627,0.8074066288199846,0.8427792768039253,0.8058475168079766,0.9636944017122102,0.9981619020754471,0.9619013137978497,-0.019912800328327675,-0.016201408596152645,-0.020077281713074817,-0.003718089094721948,0.00018817628913348343,0.0039018576275252695,-0.24388100077164074,-0.19842592087457556,-0.24589547809572518,-0.045537105501377025,0.0023046794503373464,0.04778780118211727
